web-scraper-order;web-scraper-start-url;match;match-href;Bookmakers: 22;Bookie;Home;Draw;Away;Home_team;Away_team
1572692187-15330;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AS Roma-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/as-roma-sampdoria/SrzKE2yO/;;;1.36;5.25;8.00;AS Roma;Sampdoria
1572692361-16356;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Juventus-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/juventus-udinese/2yBcMmvQ/;;;1.21;5.75;16.00;Juventus;Udinese
1572692011-14175;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-bologna/ltNuLOu7/;;;2.63;3.20;2.90;Chievo;Bologna
1572692274-15842;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Chievo-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/chievo-cagliari/EuEgZTI7/;;;2.16;3.10;3.75;Chievo;Cagliari
1572691472-10672;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Genoa-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/genoa-juventus/UwJKtBRn/;;;9.25;4.50;1.38;Genoa;Juventus
1572692277-15852;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Torino-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/torino-juventus/21fleBuR/;;;5.00;3.60;1.75;Torino;Juventus
1572692550-17582;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Bologna-Verona;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/bologna-verona/KAhvh0o8/;;;1.57;4.10;6.50;Bologna;Verona
1572692264-15756;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;AS Roma-Benevento;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/as-roma-benevento/YNXwuakT/;;;1.20;7.20;14.50;AS Roma;Benevento
1572692394-16566;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Spal-Juventus;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/spal-juventus/pGpaQgyT/;;;10.00;4.50;1.30;Spal;Juventus
1572692571-17725;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Sampdoria-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/sampdoria-bologna/hrm3rmEB/;;;1.67;3.75;4.50;Sampdoria;Bologna
1572691585-11394;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Lazio-Napoli;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/lazio-napoli/dh14cf8e/;;;3.35;3.55;2.10;Lazio;Napoli
1572691837-13111;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/results/;Napoli-AC Milan;https://www.betexplorer.com/soccer/italy/serie-a-2017-2018/napoli-ac-milan/UydVedks/;null;null;1.44;4.50;7.00;Napoli;AC Milan
