"","match","mean_home_odd","mean_draw_odd","mean_away_odd","max_home_odd","max_draw_odd","max_away_odd","result","date","p1mean","p2mean","pxmean","p1max","p2max","pxmax","esito"
"380","AS Roma-Sassuolo",1.52181818181818,4.26545454545455,6.26045454545455,1.55,4.49,7,"3-1","26/12/2018",0.657108721624851,0.159732810571408,0.234441602728047,0.645161290322581,0.142857142857143,0.22271714922049,"1"
"381","Genoa-Inter",4.17454545454545,3.44454545454545,1.92181818181818,4.74,3.58,2.05,"0-4","03/04/2019",0.239547038327526,0.520340586565753,0.290314067036158,0.210970464135021,0.487804878048781,0.279329608938547,"2"
"382","Cagliari-AC Milan",4.63,3.5004347826087,1.82217391304348,5.05,3.6,1.91,"1-1","16/09/2018",0.215982721382289,0.548795036984013,0.285678797664886,0.198019801980198,0.523560209424084,0.277777777777778,"X"
"383","Cagliari-Inter",5.27681818181818,3.57136363636364,1.71863636363636,5.75,3.72,1.78,"2-1","01/03/2019",0.189508140236024,0.581856651679451,0.280005091001654,0.173913043478261,0.561797752808989,0.268817204301075,"1"
"384","AC Milan-Parma",1.54,4.01545454545455,6.48181818181818,1.57,4.25,7.2,"2-1","02/12/2018",0.649350649350649,0.154277699859748,0.249037808467285,0.636942675159236,0.138888888888889,0.235294117647059,"1"
"385","Genoa-Lazio",3.26863636363636,3.23818181818182,2.27818181818182,3.4,3.36,2.35,"2-1","17/02/2019",0.305937978028091,0.438946528332003,0.308815272318922,0.294117647058824,0.425531914893617,0.297619047619048,"1"
"386","Udinese-Empoli",2.41818181818182,3.185,3.09545454545455,2.54,3.37,3.25,"3-2","07/04/2019",0.413533834586466,0.323054331864904,0.313971742543171,0.393700787401575,0.307692307692308,0.29673590504451,"1"
"387","Torino-Sassuolo",1.56272727272727,4.11,5.97863636363636,1.6,4.32,6.8,"3-2","12/05/2019",0.639906922629437,0.167262221546415,0.24330900243309,0.625,0.147058823529412,0.231481481481481,"1"
"388","Lazio-Fiorentina",1.75173913043478,3.78478260869565,4.60304347826087,1.8,3.92,5.2,"1-0","07/10/2018",0.570861255894764,0.217247567771796,0.264215967834578,0.555555555555556,0.192307692307692,0.255102040816327,"1"
"389","Juventus-Fiorentina",1.45227272727273,4.23409090909091,7.845,1.5,4.47,9.2,"2-1","20/04/2019",0.688575899843504,0.127469725940089,0.2361782071927,0.666666666666667,0.108695652173913,0.223713646532438,"1"
"390","Udinese-Chievo",1.96181818181818,3.16909090909091,4.38863636363636,2.01,3.34,4.7,"1-0","17/02/2019",0.509731232622799,0.227861211807354,0.315547905909352,0.497512437810945,0.212765957446809,0.29940119760479,"1"
"391","Lazio-AC Milan",1.74136363636364,3.73227272727273,4.82090909090909,1.85,3.93,5.25,"1-1","25/11/2018",0.574262594622813,0.207429756741467,0.267933260260626,0.54054054054054,0.19047619047619,0.254452926208651,"X"
"392","Parma-Sassuolo",3.31863636363636,3.39272727272727,2.20090909090909,3.5,3.55,2.3,"2-1","25/11/2018",0.301328585125326,0.454357703428336,0.294748124330118,0.285714285714286,0.434782608695652,0.28169014084507,"1"
