start;url;match;href;Bookmakers: 22;Bookmakers: 22;Home;Draw;Away;Home_team;Away_team
1572701104-22061;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Crotone-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/crotone-sampdoria/CUCmouFD/;;;2.80;3.30;2.40;Crotone;Sampdoria
1572701156-22409;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Chievo-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/chievo-genoa/hIRobnAa/;;;2.63;3.00;3.00;Chievo;Genoa
1572701936-27415;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-bologna/AgdPy8GB/;;;1.24;5.50;9.50;AC Milan;Bologna
1572701086-21940;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Inter;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-inter/GtQaVyJb/;;;2.85;3.18;2.88;AC Milan;Inter
1572701451-24273;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Udinese;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-udinese/xCb5Y1V7/;;;1.72;3.40;4.60;Fiorentina;Udinese
1572701022-21520;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-cagliari/xj5QGx45/;null;null;1.57;4.20;5.50;Torino;Cagliari
1572701069-21829;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Lazio-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/lazio-genoa/6VICSZ2H/;;;1.65;3.60;4.75;Lazio;Genoa
1572701239-22965;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-genoa/AcAsslz1/;;;1.73;3.60;4.50;Torino;Genoa
1572700805-20108;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AS Roma-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/as-roma-crotone/ChygCSyt/;null;null;1.12;7.50;16.00;AS Roma;Crotone
1572700707-19422;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Crotone-Genoa;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/crotone-genoa/WUFmyRvb/;;;6.50;3.80;1.60;Crotone;Genoa
1572700802-20080;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-palermo/QcWY6Xa0/;null;null;1.56;4.00;6.55;Atalanta;Palermo
1572701012-21439;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Pescara;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-pescara/fis8of83/;;;1.33;5.00;10.00;AC Milan;Pescara
1572701733-26109;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Sassuolo-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/sassuolo-sampdoria/dnYMAJfb/;;;2.25;3.50;3.10;Sassuolo;Sampdoria
1572701866-26954;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Chievo-Palermo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/chievo-palermo/zgyDLeQD/;;;1.70;3.75;5.00;Chievo;Palermo
1572701687-25798;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Chievo-Crotone;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/chievo-crotone/Mwq0mGwi/;;;1.77;3.50;4.95;Chievo;Crotone
1572701915-27289;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Udinese-Sampdoria;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/udinese-sampdoria/xn9xoCgP/;;;1.98;3.55;3.75;Udinese;Sampdoria
1572701672-25708;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-cagliari/0Us4nzgc/;;;2.66;3.15;2.90;Palermo;Cagliari
1572701232-22903;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Atalanta-Empoli;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/atalanta-empoli/IaiY3BsE/;;;1.49;4.15;7.00;Atalanta;Empoli
1572701548-24920;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Fiorentina-Torino;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/fiorentina-torino/nLtr5fNq/;;;1.83;3.80;4.10;Fiorentina;Torino
1572701022-21508;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Cagliari;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-cagliari/xj5QGx45/;null;null;1.55;4.30;6.00;Torino;Cagliari
1572700654-19069;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Palermo-Sassuolo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/palermo-sassuolo/Q7ZbHWmP/;;;3.34;3.20;2.50;Palermo;Sassuolo
1572700689-19316;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Torino-Bologna;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/torino-bologna/6RWPLouB/;;;1.85;3.30;4.60;Torino;Bologna
1572700754-19748;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;Udinese-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/udinese-chievo/Qod8ZJvS/;;;2.10;3.20;3.40;Udinese;Chievo
1572701558-24980;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/results/;AC Milan-Chievo;https://www.betexplorer.com/soccer/italy/serie-a-2016-2017/ac-milan-chievo/Onw8SKpR/;null;null;1.57;4.00;5.75;AC Milan;Chievo
